username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentiment
;2016-06-26 01:50;0;1;""hold the door hold the door hold the door...hold door hold door... hodor " pic.twitter.com/iPZ6qsDB2z";;;;"746853152771571712";https://twitter.com/gyIlengod/status/746853152771571712;0
;2016-06-26 01:48;0;1;"jon snow and hodor have sex in season 7 btw";;;;"746852689418555392";https://twitter.com/aqambar_/status/746852689418555392;0
;2016-06-26 01:47;0;0;"Is there a Hodor Twitter account that just tweets " Hodor "? Surely right?";;;;"746852417489219584";https://twitter.com/Flemdawg1Hunna/status/746852417489219584;0
;2016-06-26 01:42;0;1;"" Hodor " - Hodor";;;;"746851168937254912";https://twitter.com/lerar___/status/746851168937254912;0
;2016-06-26 01:33;0;2;"I can't say Hold the Door in the real world without chuckling a bit anymore. #Hodor";;;#Hodor;"746848725050359809";https://twitter.com/JakesplacePS/status/746848725050359809;0
;2016-06-26 01:32;0;0;"Wait, hold up. You dated Hodor ? pic.twitter.com/tfkgjBtxsn";;;;"746848643374776320";https://twitter.com/Eric_Halliday/status/746848643374776320;0
;2016-06-26 01:20;1;2;"Hodor :(";;;;"746845507570401280";https://twitter.com/abake6/status/746845507570401280;5
;2016-06-26 01:18;0;1;"Hodor is carrying the contraption that Tyrion brought the blueprints for. #GameOfThrones";;;#GameOfThrones;"746845074793836544";https://twitter.com/RandomThrones/status/746845074793836544;0
;2016-06-26 01:17;0;2;"Would you rather your parents named you Stannis, Hodor or Joffrey jk ur parents sound like virgins";;;;"746844797051244545";https://twitter.com/tylereece/status/746844797051244545;0
;2016-06-26 01:11;0;1;"Hodor !";;;;"746843257359974400";https://twitter.com/lHodorl/status/746843257359974400;0
;2016-06-26 01:11;0;1;"Hodor .";;;;"746843256693100544";https://twitter.com/lHodorl/status/746843256693100544;0
;2016-06-26 01:08;0;1;"HODOR";;;;"746842521054097408";https://twitter.com/_sscullyy/status/746842521054097408;0
;2016-06-26 01:07;0;0;"#GOTs6 ep2 Bran: Willis you were a boy, you were talking. What happened? Willis: Hodor . me: EVERYTHING IS TERRIBLE";;;#GOTs6;"746842320004354050";https://twitter.com/quieropastel/status/746842320004354050;0
;2016-06-26 01:06;0;1;"right? I mean... Hodor ... No one would really name their kid this. No one.";;;;"746842079955869697";https://twitter.com/tqlpz/status/746842079955869697;0
;2016-06-26 01:05;1;0;"Hodor";;;;"746841747775356928";https://twitter.com/anabel_jpg/status/746841747775356928;0
;2016-06-26 01:05;0;2;"@__SallyForth that is the eternal lesson that #Hodor left us with";;@__SallyForth;#Hodor;"746841704347598849";https://twitter.com/NotJaneDawkins/status/746841704347598849;0
;2016-06-26 01:00;0;1;"Hodor Hodor Hodor Hodor Hodor Hodor Hodor Hodor Hodor Hodor Hodor Hodor";;;;"746840401978531840";https://twitter.com/hodorclock/status/746840401978531840;0
;2016-06-26 00:55;0;2;"HODOR";;;;"746839255033384960";https://twitter.com/DrewShirleyShow/status/746839255033384960;0
;2016-06-26 00:44;0;1;"Hodor";;;;"746836526667964416";https://twitter.com/GradyWaltrip/status/746836526667964416;0
;2016-06-26 00:41;0;1;"YES! IT'S HODOR lol";;;;"746835837304791041";https://twitter.com/fanizethh/status/746835837304791041;3
;2016-06-26 00:40;0;1;"Sandor and Hodor doing the festival circuit!";;;;"746835484924612608";https://twitter.com/MintySilver/status/746835484924612608;3
;2016-06-26 00:31;0;1;"Hold the door..... Hodor . Troll the door..... Trogdor.";;;;"746833342583054336";https://twitter.com/djetter0801/status/746833342583054336;3
;2016-06-26 00:20;0;0;"hodor as a whitewalker i'm crying";;;;"746830512484847616";https://twitter.com/starkweasleys/status/746830512484847616;5
;2016-06-26 00:20;0;0;"I find myself just yelling at Bran this whole episode anyway. "What happened to you, Hodor ?" I hate you. #GoT";;;#GoT;"746830350194642944";https://twitter.com/HoGuildenstern/status/746830350194642944;0
;2016-06-26 00:14;1;2;"Hodor ? Hodor !";;;;"746828867629883393";https://twitter.com/lHodorl/status/746828867629883393;0
;2016-06-26 00:11;0;1;"Hodor .";;;;"746828292959969280";https://twitter.com/lHodorl/status/746828292959969280;0
;2016-06-26 00:11;0;1;"Hodor !";;;;"746828286714601472";https://twitter.com/lHodorl/status/746828286714601472;0
;2016-06-26 00:06;0;1;"Hodor ... pic.twitter.com/TtgwyPyB4H";;;;"746826954528141312";https://twitter.com/sandromergvaz/status/746826954528141312;0
;2016-06-25 23:58;0;1;"Got to give Hodor the deserved respect.";;;;"746824920139726849";https://twitter.com/goblingee/status/746824920139726849;4
;2016-06-25 23:55;0;0;"But Pakistan got no HODOR . https:// twitter.com/Uzair_Here/sta tus/746823561478713345 …";;;;"746824239089614848";https://twitter.com/EmirOfMecca/status/746824239089614848;0
;2016-06-25 23:47;1;27;"Currently *holding* down a stockpile of chips in the Monster Stack. #Hodor #Roar pic.twitter.com/0Dok5UDliR";;;#Hodor #Roar;"746822045623717889";https://twitter.com/AyeGeeJay/status/746822045623717889;0
;2016-06-25 23:46;0;0;"#hodor #got #nedavimobgd pic.twitter.com/LuETUHQ219";;;#hodor #got #nedavimobgd;"746821844787994628";https://twitter.com/AleksandarIgi/status/746821844787994628;0
;2016-06-25 23:28;0;3;"HODOR PORTUGAL, HODOR";;;;"746817269485961216";https://twitter.com/jepaspls/status/746817269485961216;0
;2016-06-25 23:27;0;1;"I would like one! HODOR !!!!!";;;;"746817122366554112";https://twitter.com/MStitchdori/status/746817122366554112;0
;2016-06-25 23:25;0;1;"Watching soccer and only screaming Hodor is fun";;;;"746816639103025152";https://twitter.com/STeeNYboPP/status/746816639103025152;0
;2016-06-25 23:19;0;2;"HODOR";;;;"746815145117122560";https://twitter.com/taehri/status/746815145117122560;0
;2016-06-25 23:11;0;2;"Hodor !";;;;"746813141871362049";https://twitter.com/lHodorl/status/746813141871362049;0
;2016-06-25 23:11;0;1;"Hodor .";;;;"746813140646641665";https://twitter.com/lHodorl/status/746813140646641665;0
;2016-06-25 23:10;0;1;"Hodor !";;;;"746812960471924736";https://twitter.com/HodorDawla/status/746812960471924736;0
;2016-06-25 23:00;0;1;"Hodor Hodor Hodor Hodor Hodor Hodor Hodor Hodor Hodor Hodor";;;;"746810205678280704";https://twitter.com/hodorclock/status/746810205678280704;0
;2016-06-25 22:55;0;1;"HODOR .";;;;"746809018602164227";https://twitter.com/on3nightstan/status/746809018602164227;0
;2016-06-25 22:49;0;0;"Loving the "Hold the Door" flag at #Glastonbury #GoT #Hodor";;;#Glastonbury #GoT #Hodor;"746807458983780352";https://twitter.com/Mrjamieallan/status/746807458983780352;2
;2016-06-25 22:48;0;1;"Thanks man R.I.P Hodor";;;;"746807383507165185";https://twitter.com/jack_hanke/status/746807383507165185;5
;2016-06-25 22:46;0;2;"Someone at #Glasto2016 has a 'hold the door' flag. Brilliant. #Hodor #GameofThrones";;;#Glasto2016 #Hodor #GameofThrones;"746806883374219264";https://twitter.com/carolinebuble/status/746806883374219264;0
;2016-06-25 22:46;0;1;"hodor #zombi";;;#zombi;"746806862046236672";https://twitter.com/cliffordntm/status/746806862046236672;0
;2016-06-25 22:45;0;3;"Tom got recognized #FriendliestCreatureInTown #Hodor pic.twitter.com/GIOsHeZKvx";;;#FriendliestCreatureInTown #Hodor;"746806622098427904";https://twitter.com/NesFarm/status/746806622098427904;0
;2016-06-25 22:38;0;1;"@jack_hanke Happy Birthday! Have a good one R.I.P. Hodor";;@jack_hanke;;"746804759554826240";https://twitter.com/WyattMounts/status/746804759554826240;5
;2016-06-25 22:31;0;0;"Coral, before HODOR https:// youtu.be/s1WFtQxAeas";;;;"746802960554934273";https://twitter.com/libertarian/status/746802960554934273;0
;2016-06-25 22:25;0;1;"For hodor ? https:// twitter.com/lethalparamour /status/746801198112485377 …";;;;"746801564812075008";https://twitter.com/BeingWasiZaidi/status/746801564812075008;0
;2016-06-25 22:12;0;1;"Hodor !";;;;"746798211520659460";https://twitter.com/lHodorl/status/746798211520659460;0
;2016-06-25 22:04;0;0;"HODOR WAS TOO PURE FOR THE WORLD OF GAME OF THRONES. I'm very upset";;;;"746796250016645120";https://twitter.com/GracieKC98/status/746796250016645120;5
;2016-06-25 22:00;0;1;"Hodor Hodor Hodor Hodor Hodor Hodor Hodor Hodor Hodor";;;;"746795104573198337";https://twitter.com/hodorclock/status/746795104573198337;0
;2016-06-25 21:47;0;0;"yes hodor was great as well but you deserve some credits to!";;;;"746791990013100032";https://twitter.com/King_Tommen__/status/746791990013100032;4
;2016-06-25 21:45;0;1;"Yes, let us not forget what Hodor did for dear Bran. @King_Tommen__";;@King_Tommen__;;"746791509970673664";https://twitter.com/ColdHands_FW/status/746791509970673664;4
;2016-06-25 21:37;5;10;"Hodor : Hodor !";;;;"746789318967103488";https://twitter.com/Game_0fThrones/status/746789318967103488;0
;2016-06-25 21:36;0;0;"Hol-d-dor, Hol-d-dor, HOL-D-DOR_HOL-D-DOR, HODOR !!!!! I saw it the night it was on and its still freaking me out!";;;;"746789170559909888";https://twitter.com/ChuckDanas/status/746789170559909888;3
;2016-06-25 21:21;0;1;"WHAT IF THE REASON RHAEGER TARGARYEN WENT MAD WAS BECAUSE BRAN WENT BACK IN TIME AND FRIED HIS BRAIN LIKE HODOR OH MY GOD";;;;"746785378514898944";https://twitter.com/rdelarge225/status/746785378514898944;3
;2016-06-25 21:19;0;0;"rip hodor";;;;"746784980353880064";https://twitter.com/lwtking91/status/746784980353880064;5
;2016-06-25 21:19;2;7;"Hodor ! https:// twitter.com/TyxaiaPernousa /status/694804081920102401 …";;;;"746784813982564352";https://twitter.com/Bill_Advised/status/746784813982564352;0
;2016-06-25 21:14;0;1;"Hodor ? Hodor !";;;;"746783739380899840";https://twitter.com/lHodorl/status/746783739380899840;0
;2016-06-25 21:14;0;1;"Hodor !";;;;"746783685060464641";https://twitter.com/lHodorl/status/746783685060464641;0
;2016-06-25 21:14;0;1;"Hodor .";;;;"746783676869054464";https://twitter.com/lHodorl/status/746783676869054464;0
;2016-06-25 21:07;0;2;"Everyone else ordering Renner photoshoots me going 'OMG YOU CAN GET A PHOTOSHOOT WITH HODOR AND A DOOR!'";;;;"746781889499897856";https://twitter.com/claire2281/status/746781889499897856;0
;2016-06-25 21:05;0;3;"HODOR HODOR HODOR euhhh honor* @Honor_FR";;@Honor_FR;;"746781367195869185";https://twitter.com/Jesuisparpaing/status/746781367195869185;0
;2016-06-25 21:03;1;3;"HODOR brexit human beings bleughh arrrgh";;;;"746780904677384192";https://twitter.com/NatashaMHughes/status/746780904677384192;0
;2016-06-25 21:00;0;0;"I wonder how the Hodor reveal was dubbed RT @codepo8 : Localisation is hard… pic.twitter.com/y7q6omWwD9";;@codepo8;;"746780032090120196";https://twitter.com/dgrelli/status/746780032090120196;0
;2016-06-25 21:00;0;1;"Hodor Hodor Hodor Hodor Hodor Hodor Hodor Hodor";;;;"746780004583940096";https://twitter.com/hodorclock/status/746780004583940096;0
;2016-06-25 20:54;0;0;"HODOR DIED BECAUSE OF HIM MY HEART IS STILL IN PAIN https:// twitter.com/clarkemiIias/s tatus/746665728967839744 …";;;;"746778583654350848";https://twitter.com/frantasticpill/status/746778583654350848;5
;2016-06-25 20:53;0;0;"Now that is something. Hodor Targaryen? https:// twitter.com/TVGuide/status /746689510642049025 …";;;;"746778410257518593";https://twitter.com/SeafoamLove/status/746778410257518593;0
;2016-06-25 20:48;0;3;"Rich coming from someone who thought " Hodor " was a good rebuttal";;;;"746777195943690240";https://twitter.com/Communionism/status/746777195943690240;0
;2016-06-25 20:46;2;13;"Hodor #GameofThrones pic.twitter.com/ZDb1ACnJDq";;;#GameofThrones;"746776508098842624";https://twitter.com/got_sondagesFR/status/746776508098842624;0
;2016-06-25 20:42;0;0;"hodor 's past im gonna cry he doesn't deserve all this misery im so sad";;;;"746775634081259520";https://twitter.com/altpopunk/status/746775634081259520;5
;2016-06-25 20:42;0;2;"mfw a 2 calls an 8 Hodor pic.twitter.com/CmInExkkHg";;;;"746775537058623488";https://twitter.com/Communionism/status/746775537058623488;0
;2016-06-25 20:36;4;20;"We made a Hodor tribute song! #GameofThrones https://www. youtube.com/watch?v=Na8EZK 9gr8I …";;;#GameofThrones;"746773960403070977";https://twitter.com/iamhelynt/status/746773960403070977;2
;2016-06-25 20:32;0;1;"Stop arguing with Hodor 's brother.";;;;"746773053032411136";https://twitter.com/Bailamostar/status/746773053032411136;0
;2016-06-25 20:07;0;2;"Dad: Hey gab.. Me: HODOR . *closes door Me: HODORHODORHODOR!!! Dad: NOOOO! My life is a joke";;;;"746766780635320320";https://twitter.com/Alexisgpinzon/status/746766780635320320;0
;2016-06-25 20:06;0;3;"Hodor 's death hit me harder than anything else in this show. I'm literally crying right now.";;;;"746766424710864896";https://twitter.com/Ort_le/status/746766424710864896;5
